Name,Branch,Place,Exams Accepted,Fees
"MIT College of Engineering, Pune",B.Tech Mechanical Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 1,180,000"
"College of Engineering, Guindy",BE Mechanical Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 129,560"
"Pandit Deendayal Petroleum University, Gandhinagar",B.Tech Mechanical Engineering,"Gandhinagar, Gujarat",JEE,"Fees:  ₹ 921,000"
"Chandigarh University, Chandigarh",BE Mechanical Engineering,"Chandigarh, Punjab",NA,"Fees:  ₹ 654,000"
"Bannari Amman Institute of Technology, Erode",BE Mechanical Engineering,"Erode, Tamil Nadu",JEE,"Fees:  ₹ 200,000"
"AISSMS College of Engineering, Pune",BE Mechanical Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 437,000"
"LNM Institute of Information Technology, Jaipur",B.Tech Mechanical Engineering,"Jaipur, Rajasthan",JEE,"Fees:  ₹ 1,120,000"
National Institute of Technology Karnataka Surathkal,B.Tech Mechanical Engineering,"Mangaluru, Karnataka",JEE,"Fees:  ₹ 534,479"
Indian Institute of Technology Roorkee,B.Tech Mechanical Engineering,"Roorkee, Uttarakhand",JEE,"Fees:  ₹ 855,000"
"VIT University, Chennai",B.Tech Mechanical Engineering,"Kelambakkam, Tamil Nadu",VITEEE,"Fees:  ₹ 780,000"
Visvesvaraya National Institute of Technology Nagpur,B.Tech Mechanical Engineering,"Nagpur, Maharashtra",JEE,"Fees:  ₹ 540,300"
"BITS Pilani, Goa Campus",BE Mechanical Engineering,"Chicalim, Goa",BITSAT,"Fees:  ₹ 1,624,800"
"MBM Engineering College, Jodhpur",B.Tech Mechanical Engineering,"Jodhpur, Rajasthan",NA,"Fees:  ₹ 120,000"
"Gayatri Vidya Parishad College of Engineering, Visakhapatnam",B.Tech Mechanical Engineering,"Visakhapatnam, Andhra Pradesh",AP,"Fees:  ₹ 434,200"
"Acharya Institute of Technology, Bangalore",BE Mechanical Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 188,000"
"Harcourt Butler Technical University, Kanpur",B.Tech Mechanical Engineering,"Kanpur, Uttar Pradesh",JEE,"Fees:  ₹ 540,000"
National Institute of Technology Warangal,B.Tech Mechanical Engineering,"Warangal, Telangana",JEE,"Fees:  ₹ 500,000"
"St Joseph's College of Engineering, Chennai",BE Mechanical Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 220,000"
"Dr Ambedkar Institute of Technology, Bangalore",B.Tech Mechanical Engineering,"Bangalore, Karnataka",JEE,"Fees:  ₹ 213,840"
"Chaitanya Bharathi Institute of Technology, Hyderabad",BE Mechanical Engineering,"Hyderabad, Telangana",JEE,"Fees:  ₹ 800,000"
"Sinhgad College of Engineering, Pune",BE Mechanical Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 500,608"
"Sathyabama Institute of Science and Technology, Chennai",BE Mechanical Engineering,"Chennai, Tamil Nadu",SAEEE,"Fees:  ₹ 80,000"
"Mukesh Patel School of Technology Management and Engineering, Mumbai",B.Tech Mechanical Engineering,"Mumbai, Maharashtra",NPAT,"Fees:  ₹ 1,160,000"
"School of Engineering and Technology, Jain University, Bangalore",B.Tech Mechanical Engineering,"Bangalore, Karnataka",NA,"Exams:  Uni-Gauge-E ,  JET "
"Ajay Kumar Garg Engineering College, Ghaziabad",B.Tech Mechanical Engineering,"Ghaziabad, Uttar Pradesh",JEE,"Fees:  ₹ 483,024"
"Government College of Engineering, Aurangabad",BE Mechanical Engineering,"Aurangabad, Maharashtra",NA,"Fees:  ₹ 323,921"
"JSS Science and Technology University, Mysuru",BE Mechanical Engineering,"Mysuru, Karnataka",COMEDK,"Fees:  ₹ 64,000"
"Birla Institute of Technology and Science, Pilani",BE Mechanical Engineering Hons,"Pilani, Rajasthan",BITSAT,"Fees:  ₹ 1,632,500"
"Madras Institute of Technology, Chennai",BE Mechanical Engineering,"Chennai, Tamil Nadu",NA,NA
"Nitte Meenakshi Institute of Technology, Bangalore",BE Mechanical Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 243,000"
"AAA College of Engineering and Technology, Thiruthangal",BE Mechanical Engineering,"Virudhunagar, Tamil Nadu",NA,NA
"University Visvesvaraya College of Engineering, Bangalore",BE Mechanical Engineering,"Bangalore, Karnataka",NA,"Fees:  ₹ 88,360"
"Maharashtra Institute of Technology, Pune",BE Mechanical Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 1,040,000"
"JNTUH College of Engineering, Hyderabad",B.Tech Mechanical Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 40,000"
"Aditya Engineering College, Surampalem",B.Tech Mechanical Engineering,"Surampalem, Andhra Pradesh",NA,"Fees:  ₹ 227,000"
"CVR College of Engineering, Hyderabad",B.Tech Mechanical Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 360,000"
"Presidency University, Bangalore",B.Tech Mechanical Engineering,"Bangalore, Karnataka",JEE,"Fees:  ₹ 660,000"
Indian Institute of Technology Banaras Hindu University Varanasi,B.Tech Mechanical Engineering,"Varanasi, Uttar Pradesh",JEE,"Fees:  ₹ 828,010"
"Hindustan Institute of Technology and Science, Chennai",B.Tech Mechanical Engineering,"Chennai, Tamil Nadu",HITSEEE,"Fees:  ₹ 1,062,500"
"New Horizon College of Engineering, Bangalore",BE Mechanical Engineering,"Bangalore, Karnataka",NA,"Fees:  ₹ 500,000"
"Dayalbagh Educational Institute, Agra",B.Tech Mechanical Engineering,"Agra, Uttar Pradesh",JEE,"Fees:  ₹ 33,750"
"Sant Longowal Institute of Engineering and Technology, Longowal",BE Welding Technology,"Longowal, Punjab",JEE,"Fees:  ₹ 271,000"
Indian Institute of Technology Kanpur,B.Tech Mechanical Engineering,"Kanpur, Uttar Pradesh",JEE,"Fees:  ₹ 830,850"
"Haldia Institute of Technology, Haldia",B.Tech Mechanical Engineering,"Haldia, West Bengal",JEE,"Fees:  ₹ 360,700"
Indian Institute of Technology Hyderabad,B.Tech Mechanical Engineering,"Hyderabad, Telangana",JEE,"Fees:  ₹ 887,780"
"Dayananda Sagar Academy of Technology and Management, Bangalore",BE Mechanical Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 180,000"
"MS Ramaiah University of Applied Sciences, Bangalore",B.Tech Mechanical Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 1,126,000"
"Thiagarajar College of Engineering, Madurai",BE Mechanical Engineering,"Madurai, Tamil Nadu",NA,"Fees:  ₹ 67,400"
"Kalinga Institute of Industrial Technology, Bhubaneswar",B.Tech Mechanical Engineering,"Bhubaneshwar, Odisha",KIITEE,"Fees:  ₹ 1,400,000"
Malaviya National Institute of Technology Jaipur,B.Tech Mechanical Engineering,"Jaipur, Rajasthan",JEE,"Fees:  ₹ 411,472"
"KLS Gogte Institute of Technology, Belagavi",BE Mechanical Engineering,"Belgaum, Karnataka",COMEDK,"Fees:  ₹ 213,840"
"Walchand College of Engineering, Sangli",B.Tech Mechanical Engineering,"Sangli, Maharashtra",JEE,"Fees:  ₹ 339,390"
"SRM Institute of Science and Technology, Ramapuram Campus",B.Tech Mechanical Engineering,"Ramapuram, Tamil Nadu",NA,Exams:  SRMJEEE 
"Institute of Engineering and Technology, Lucknow",B.Tech Mechanical Engineering,"Lucknow, Uttar Pradesh",UPSEE,"Fees:  ₹ 339,100"
"DY Patil College of Engineering, Pune",BE Mechanical Engineering,"Pimpri-Chinchwad, Maharashtra",MAHA,"Fees:  ₹ 493,168"
National Institute of Technology Rourkela,B.Tech Mechanical Engineering,"Rourkela, Odisha",JEE,"Fees:  ₹ 599,500"
"Karunya Institute of Technology and Sciences, Coimbatore",B.Tech Mechanical Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 874,000"
"Vivekananda Global University, Jaipur",B.Tech Mechanical Engineering,"Jaipur, Rajasthan",JEE,"Fees:  ₹ 360,000"
"Vardhaman College of Engineering, Hyderabad",B.Tech Mechanical Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 512,000"
"GIET University, Gunupur",B.Tech Mechanical Engineering,"Gunupur, Odisha",JEE,"Fees:  ₹ 456,000"
