Name,Branch,Place,Exams Accepted,Fees
"Bannari Amman Institute of Technology, Erode",BE Civil Engineering,"Erode, Tamil Nadu",JEE,"Fees:  ₹ 2,20,000"
"AISSMS College of Engineering, Pune",BE Civil Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 4,41,404"
National Institute of Technology Karnataka Surathkal,B.Tech Civil Engineering,"Mangaluru, Karnataka",JEE,"Fees:  ₹ 5,34,479"
Indian Institute of Technology Roorkee,B.Tech Civil Engineering,"Roorkee, Uttarakhand",JEE,"Fees:  ₹ 8,55,000"
"VIT University, Chennai",B.Tech Civil Engineering,"Kelambakkam, Tamil Nadu",VITEEE,"Fees:  ₹ 6,92,000"
Visvesvaraya National Institute of Technology Nagpur,B.Tech Civil Engineering,"Nagpur, Maharashtra",JEE,"Fees:  ₹ 5,40,300"
"MBM Engineering College, Jodhpur",B.Tech Civil Engineering,"Jodhpur, Rajasthan",NA,"Fees:  ₹ 1,20,000"
"Gayatri Vidya Parishad College of Engineering, Visakhapatnam",B.Tech Civil Engineering,"Visakhapatnam, Andhra Pradesh",AP,"Fees:  ₹ 4,34,200"
"Acharya Institute of Technology, Bangalore",BE Civil Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 18,80,000"
"Harcourt Butler Technical University, Kanpur",B.Tech Civil Engineering,"Kanpur, Uttar Pradesh",NA,"Fees:  ₹ 5,40,000"
National Institute of Technology Warangal,B.Tech Civil Engineering,"Warangal, Telangana",JEE,"Fees:  ₹ 5,00,000"
"St Joseph's College of Engineering, Chennai",BE Civil Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 2,20,000"
"Dr Ambedkar Institute of Technology, Bangalore",B.Tech Civil Engineering,"Bangalore, Karnataka",JEE,"Fees:  ₹ 2,13,840"
"Chaitanya Bharathi Institute of Technology, Hyderabad",BE Civil Engineering,"Hyderabad, Telangana",JEE,"Fees:  ₹ 800,000"
"Sinhgad College of Engineering, Pune",BE Civil Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 500,608"
"Sathyabama Institute of Science and Technology, Chennai",BE Civil Engineering,"Chennai, Tamil Nadu",SAEEE,"Fees:  ₹ 685,000"
"Mukesh Patel School of Technology Management and Engineering, Mumbai",B.Tech Civil Engineering,"Mumbai, Maharashtra",NPAT,"Fees:  ₹ 1,160,000"
"School of Engineering and Technology, Jain University, Bangalore",B.Tech Civil Engineering,"Bangalore, Karnataka",NA,"Exams:  Uni-Gauge-E ,  JET "
"Ajay Kumar Garg Engineering College, Ghaziabad",B.Tech Civil Engineering,"Ghaziabad, Uttar Pradesh",JEE,"Fees:  ₹ 483,024"
"Government College of Engineering, Aurangabad",BE Civil Engineering,"Aurangabad, Maharashtra",MAHA,"Fees:  ₹ 323,921"
"JSS Science and Technology University, Mysuru",BE Civil Engineering,"Mysuru, Karnataka",COMEDK,"Fees:  ₹ 64,000"
"Birla Institute of Technology and Science, Pilani",BE Civil Engineering Hons,"Pilani, Rajasthan",BITSAT,"Fees:  ₹ 1,632,500"
"Nitte Meenakshi Institute of Technology, Bangalore",BE Civil Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 243,000"
"AAA College of Engineering and Technology, Thiruthangal",BE Civil Engineering,"Virudhunagar, Tamil Nadu",NA,NA
"University Visvesvaraya College of Engineering, Bangalore",BE Civil Engineering,"Bangalore, Karnataka",NA,"Fees:  ₹ 97,560"
"Maharashtra Institute of Technology, Pune",BE Civil Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 1,040,000"
"JNTUH College of Engineering, Hyderabad",B.Tech Civil Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 40,000"
"Aditya Engineering College, Surampalem",B.Tech Civil Engineering,"Surampalem, Andhra Pradesh",NA,"Fees:  ₹ 300,000"
"CVR College of Engineering, Hyderabad",B.Tech Civil Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 360,000"
"Presidency University, Bangalore",B.Tech Civil Engineering,"Bangalore, Karnataka",JEE,"Fees:  ₹ 660,000"
Indian Institute of Technology Banaras Hindu University Varanasi,B.Tech Civil Engineering,"Varanasi, Uttar Pradesh",JEE,"Fees:  ₹ 828,010"
"Hindustan Institute of Technology and Science, Chennai",B.Tech Civil Engineering,"Chennai, Tamil Nadu",HITSEEE,"Fees:  ₹ 832,500"
"New Horizon College of Engineering, Bangalore",BE Civil Engineering,"Bangalore, Karnataka",NA,"Fees:  ₹ 500,000"
"Dayalbagh Educational Institute, Agra",B.Tech Civil Engineering,"Agra, Uttar Pradesh",JEE,"Fees:  ₹ 51,300"
Indian Institute of Technology Kanpur,B.Tech Civil Engineering,"Kanpur, Uttar Pradesh",JEE,"Fees:  ₹ 830,850"
"Haldia Institute of Technology, Haldia",B.Tech Civil Engineering,"Haldia, West Bengal",JEE,"Fees:  ₹ 360,700"
