Name,Branch,Place,Exams Accepted,Fees
"Jeppiaar Engineering College, Chennai",BE Aeronautical Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",BE Aeronautical Engineering,"Nagpur, Maharashtra",NA,NA
"Sri Shakthi Institute of Engineering and Technology, Coimbatore",BE Aeronautical Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"Shri Vaishnav Vidyapeeth Vishwavidyalaya, Indore",B.Tech Avionics,"Indore, Madhya Pradesh",JEE,"Fees:  ₹ 307,000"
"Hindusthan Institute of Technology, Coimbatore",BE Aeronautical Engineering,"Malumichampatty, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"Mohamed Sathak Engineering College, Kilakarai",BE Aeronautical Engineering,"Kilakarai, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"Bhagwant University, Ajmer",B.Tech Aeronautical Engineering,"Ajmer, Rajasthan",NA,Exams:  JEE Main 
"Aditya Silver Oak Institute of Technology, Ahmedabad",B.Tech Aeronautical Engineering,"Ahmedabad, Gujarat",NA,"Fees:  ₹ 224,000"
"Kalaignar Karunanidhi Institute of Technology, Coimbatore",BE Aeronautical Engineering,"Coimbatore, Tamil Nadu",NA,NA
"Aadishwar College of Technology, Gandhinagar",B.Tech Aeronautical Engineering,"Bhoyan Rathod, Gujarat",NA,"Exams:  JEE Main ,  GUJCET "
"School of Aeronautics, Neemrana",B.Tech Aeronautical Engineering,"Neemrana, Rajasthan",NA,"Fees:  ₹ 737,000"
"Karavali Institute of Technology, Mangalore",BE Aeronautical Engineering,"Mangaluru, Karnataka",NA,"Fees:  ₹ 200,000"
"GKM College of Engineering and Technology, Chennai",BE Aeronautical Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"Shyam University, Dausa",B.Tech Aeronautical Engineering,"Dausa, Rajasthan",NA,NA
"Himalayan University, Itanagar",B.Tech Aeronautical Engineering,"Itanagar, Arunachal Pradesh",NA,NA
"Bhagwan Arihant Institute of Technology, Surat",B.Tech Aeronautical Engineering,"Surat, Gujarat",NA,NA
"Parul Institute of Engineering and Technology, Vadodara",B.Tech Aeronautical Engineering,"Vadodara, Gujarat",NA,"Fees:  ₹ 339,000"
"St Peter's University, Chennai",BE Aeronautical Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 300,000"
